0,1,2,3
160,t1_data_5.csv,8.0,1.0
161,t1_data_5.csv,9.0,1.0
162,t1_data_5.csv,10.0,1.0
163,t1_data_5.csv,11.0,1.0
164,t1_data_5.csv,12.0,1.0
165,t1_data_5.csv,13.0,1.0
166,t1_data_5.csv,14.0,1.0
167,t1_data_5.csv,15.0,1.0
168,t1_data_5.csv,16.0,1.0
169,t1_data_5.csv,17.0,1.0
170,t1_data_5.csv,18.0,1.0
171,t1_data_5.csv,19.0,1.0
172,t1_data_5.csv,20.0,1.0
173,t1_data_5.csv,21.0,1.0
174,t1_data_5.csv,22.0,1.0
175,t1_data_5.csv,23.0,1.0
176,t1_data_5.csv,24.0,1.0
177,t1_data_5.csv,25.0,1.0
178,t1_data_5.csv,26.0,1.0
179,t1_data_5.csv,27.0,1.0
180,t1_data_5.csv,28.0,1.0
181,t1_data_5.csv,29.0,1.0
182,t1_data_5.csv,30.0,1.0
183,t1_data_5.csv,31.0,1.0
184,t1_data_5.csv,32.0,1.0
185,t1_data_5.csv,33.0,1.0
186,t1_data_5.csv,34.0,1.0
187,t1_data_5.csv,35.0,1.0
188,t1_data_5.csv,36.0,1.0
189,t1_data_5.csv,37.0,1.0
190,t1_data_5.csv,38.0,1.0
191,t1_data_6.csv,1.0,1.0
192,t1_data_6.csv,2.0,1.0
193,t1_data_6.csv,3.0,1.0
194,t1_data_6.csv,4.0,1.0
195,t1_data_6.csv,5.0,1.0
196,t1_data_6.csv,6.0,1.0
197,t1_data_6.csv,7.0,1.0
198,t1_data_6.csv,8.0,1.0
199,t1_data_6.csv,9.0,1.0
200,t1_data_6.csv,10.0,1.0
201,t1_data_6.csv,11.0,1.0
202,t1_data_6.csv,12.0,1.0
203,t1_data_6.csv,13.0,1.0
204,t1_data_6.csv,14.0,1.0
205,t1_data_6.csv,15.0,1.0
206,t1_data_6.csv,16.0,1.0
207,t1_data_6.csv,17.0,1.0
208,t1_data_6.csv,18.0,1.0
209,t1_data_6.csv,19.0,1.0
210,t1_data_6.csv,20.0,1.0
211,t1_data_6.csv,21.0,1.0
212,t1_data_6.csv,22.0,1.0
213,t1_data_6.csv,23.0,1.0
214,t1_data_6.csv,24.0,1.0
215,t1_data_6.csv,25.0,1.0
216,t1_data_6.csv,26.0,1.0
217,t1_data_6.csv,27.0,1.0
218,t1_data_6.csv,28.0,1.0
219,t1_data_6.csv,29.0,1.0
220,t1_data_6.csv,30.0,1.0
221,t1_data_6.csv,31.0,1.0
222,t1_data_6.csv,32.0,1.0
223,t1_data_6.csv,33.0,1.0
224,t1_data_6.csv,34.0,1.0
225,t1_data_6.csv,35.0,1.0
226,t1_data_6.csv,36.0,1.0
227,t1_data_6.csv,37.0,1.0
228,t1_data_6.csv,38.0,1.0
229,t1_data_7.csv,1.0,1.0
230,t1_data_7.csv,2.0,1.0
231,t1_data_7.csv,3.0,1.0
232,t1_data_7.csv,4.0,1.0
233,t1_data_7.csv,5.0,1.0
234,t1_data_7.csv,6.0,1.0
235,t1_data_7.csv,7.0,1.0
236,t1_data_7.csv,8.0,1.0
237,t1_data_7.csv,9.0,1.0
238,t1_data_7.csv,10.0,1.0
239,t1_data_7.csv,11.0,1.0
240,t1_data_7.csv,12.0,1.0
241,t1_data_7.csv,13.0,1.0
242,t1_data_7.csv,14.0,1.0
243,t1_data_7.csv,15.0,1.0
244,t1_data_7.csv,16.0,1.0
245,t1_data_7.csv,17.0,1.0
246,t1_data_7.csv,18.0,1.0
247,t1_data_7.csv,19.0,1.0
248,t1_data_7.csv,20.0,1.0
249,t1_data_7.csv,21.0,1.0
250,t1_data_7.csv,22.0,1.0
251,t1_data_7.csv,23.0,1.0
252,t1_data_7.csv,24.0,1.0
253,t1_data_7.csv,25.0,1.0
254,t1_data_7.csv,26.0,1.0
255,t1_data_7.csv,27.0,1.0
256,t1_data_7.csv,28.0,1.0
257,t1_data_7.csv,29.0,1.0
258,t1_data_7.csv,30.0,1.0
259,t1_data_7.csv,31.0,1.0
260,t1_data_7.csv,32.0,1.0
261,t1_data_7.csv,33.0,1.0
262,t1_data_7.csv,34.0,1.0
263,t1_data_7.csv,35.0,1.0
264,t1_data_7.csv,36.0,1.0
265,t1_data_7.csv,37.0,1.0
266,t1_data_7.csv,38.0,1.0
267,t1_data_8.csv,1.0,1.0
268,t1_data_8.csv,2.0,1.0
269,t1_data_8.csv,3.0,1.0
270,t1_data_8.csv,4.0,1.0
271,t1_data_8.csv,5.0,1.0
272,t1_data_8.csv,6.0,1.0
273,t1_data_8.csv,7.0,1.0
274,t1_data_8.csv,8.0,1.0
275,t1_data_8.csv,9.0,1.0
276,t1_data_8.csv,10.0,1.0
277,t1_data_8.csv,11.0,1.0
278,t1_data_8.csv,12.0,1.0
279,t1_data_8.csv,13.0,1.0
280,t1_data_8.csv,14.0,1.0
281,t1_data_8.csv,15.0,1.0
282,t1_data_8.csv,16.0,1.0
283,t1_data_8.csv,17.0,1.0
284,t1_data_8.csv,18.0,1.0
285,t1_data_8.csv,19.0,1.0
286,t1_data_8.csv,20.0,1.0
287,t1_data_8.csv,21.0,1.0
288,t1_data_8.csv,22.0,1.0
289,t1_data_8.csv,23.0,1.0
290,t1_data_8.csv,24.0,1.0
291,t1_data_8.csv,25.0,1.0
292,t1_data_8.csv,26.0,1.0
293,t1_data_8.csv,27.0,1.0
294,t1_data_8.csv,28.0,1.0
295,t1_data_8.csv,29.0,1.0
296,t1_data_8.csv,30.0,1.0
297,t1_data_8.csv,31.0,1.0
298,t1_data_8.csv,32.0,1.0
299,t1_data_8.csv,33.0,1.0
300,t1_data_8.csv,34.0,1.0
301,t1_data_8.csv,35.0,1.0
302,t1_data_8.csv,36.0,1.0
303,t1_data_8.csv,37.0,1.0
304,t1_data_8.csv,38.0,1.0
305,t1_data_9.csv,1.0,1.0
306,t1_data_9.csv,2.0,1.0
307,t1_data_9.csv,3.0,1.0
308,t1_data_9.csv,4.0,1.0
309,t1_data_9.csv,5.0,1.0
310,t1_data_9.csv,6.0,1.0
311,t1_data_9.csv,7.0,1.0
312,t1_data_9.csv,8.0,1.0
313,t1_data_9.csv,9.0,1.0
314,t1_data_9.csv,10.0,1.0
315,t1_data_9.csv,11.0,1.0
316,t1_data_9.csv,12.0,1.0
317,t1_data_9.csv,13.0,1.0
318,t1_data_9.csv,14.0,1.0
319,t1_data_9.csv,15.0,1.0
320,t1_data_9.csv,16.0,1.0
321,t1_data_9.csv,17.0,1.0
322,t1_data_9.csv,18.0,1.0
323,t1_data_9.csv,19.0,1.0
324,t1_data_9.csv,20.0,1.0
325,t1_data_9.csv,21.0,1.0
326,t1_data_9.csv,22.0,1.0
327,t1_data_9.csv,23.0,1.0
328,t1_data_9.csv,24.0,1.0
329,t1_data_9.csv,25.0,1.0
330,t1_data_9.csv,26.0,1.0
331,t1_data_9.csv,27.0,1.0
332,t1_data_9.csv,28.0,1.0
333,t1_data_9.csv,29.0,1.0
334,t1_data_9.csv,30.0,1.0
335,t1_data_9.csv,31.0,1.0
336,t1_data_9.csv,32.0,1.0
337,t1_data_9.csv,33.0,1.0
338,t1_data_9.csv,34.0,1.0
339,t1_data_9.csv,35.0,1.0
340,t1_data_9.csv,36.0,1.0
341,t1_data_9.csv,37.0,1.0
342,t1_data_9.csv,38.0,1.0
343,t1_data_10.csv,1.0,1.0
344,t1_data_10.csv,2.0,1.0
345,t1_data_10.csv,3.0,1.0
346,t1_data_10.csv,4.0,1.0
347,t1_data_10.csv,5.0,1.0
348,t1_data_10.csv,6.0,1.0
349,t1_data_10.csv,7.0,1.0
350,t1_data_10.csv,8.0,1.0
351,t1_data_10.csv,9.0,1.0
352,t1_data_10.csv,10.0,1.0
353,t1_data_10.csv,11.0,1.0
354,t1_data_10.csv,12.0,1.0
355,t1_data_10.csv,13.0,1.0
356,t1_data_10.csv,14.0,1.0
357,t1_data_10.csv,15.0,1.0
358,t1_data_10.csv,16.0,1.0
359,t1_data_10.csv,17.0,1.0
360,t1_data_10.csv,18.0,1.0
361,t1_data_10.csv,19.0,1.0
362,t1_data_10.csv,20.0,1.0
363,t1_data_10.csv,21.0,1.0
364,t1_data_10.csv,22.0,1.0
365,t1_data_10.csv,23.0,1.0
366,t1_data_10.csv,24.0,1.0
367,t1_data_10.csv,25.0,1.0
368,t1_data_10.csv,26.0,1.0
369,t1_data_10.csv,27.0,1.0
370,t1_data_10.csv,28.0,1.0
371,t1_data_10.csv,29.0,1.0
372,t1_data_10.csv,30.0,1.0
373,t1_data_10.csv,31.0,1.0
374,t1_data_10.csv,32.0,1.0
375,t1_data_10.csv,33.0,1.0
376,t1_data_10.csv,34.0,1.0
377,t1_data_10.csv,35.0,1.0
378,t1_data_10.csv,36.0,1.0
379,t1_data_10.csv,37.0,1.0
380,t1_data_10.csv,38.0,1.0
381,t1_data_11.csv,1.0,1.0
382,t1_data_11.csv,2.0,1.0
383,t1_data_11.csv,3.0,1.0
384,t1_data_11.csv,4.0,1.0
385,t1_data_11.csv,5.0,1.0
386,t1_data_11.csv,6.0,1.0
387,t1_data_11.csv,7.0,1.0
388,t1_data_11.csv,8.0,1.0
389,t1_data_11.csv,9.0,1.0
390,t1_data_11.csv,10.0,1.0
391,t1_data_11.csv,11.0,1.0
392,t1_data_11.csv,12.0,1.0
393,t1_data_11.csv,13.0,1.0
394,t1_data_11.csv,14.0,1.0
395,t1_data_11.csv,15.0,1.0
396,t1_data_11.csv,16.0,1.0
397,t1_data_11.csv,17.0,1.0
398,t1_data_11.csv,18.0,1.0
399,t1_data_11.csv,19.0,1.0
400,t1_data_11.csv,20.0,1.0
401,t1_data_11.csv,21.0,1.0
402,t1_data_11.csv,22.0,1.0
403,t1_data_11.csv,23.0,1.0
404,t1_data_11.csv,24.0,1.0
405,t1_data_11.csv,25.0,1.0
406,t1_data_11.csv,26.0,1.0
407,t1_data_11.csv,27.0,1.0
408,t1_data_11.csv,28.0,1.0
409,t1_data_11.csv,29.0,1.0
410,t1_data_11.csv,30.0,1.0
411,t1_data_11.csv,31.0,1.0
412,t1_data_11.csv,32.0,1.0
413,t1_data_11.csv,33.0,1.0
414,t1_data_11.csv,34.0,1.0
415,t1_data_11.csv,35.0,1.0
416,t1_data_11.csv,36.0,1.0
417,t1_data_11.csv,37.0,1.0
418,t1_data_11.csv,38.0,1.0
419,t1_data_12.csv,1.0,1.0
420,t1_data_12.csv,2.0,1.0
421,t1_data_12.csv,3.0,1.0
422,t1_data_12.csv,4.0,1.0
423,t1_data_12.csv,5.0,1.0
424,t1_data_12.csv,6.0,1.0
425,t1_data_12.csv,7.0,1.0
426,t1_data_12.csv,8.0,1.0
427,t1_data_12.csv,9.0,1.0
428,t1_data_12.csv,10.0,1.0
429,t1_data_12.csv,11.0,1.0
430,t1_data_12.csv,12.0,1.0
431,t1_data_12.csv,13.0,1.0
432,t1_data_12.csv,14.0,1.0
433,t1_data_12.csv,15.0,1.0
434,t1_data_12.csv,16.0,1.0
435,t1_data_12.csv,17.0,1.0
436,t1_data_12.csv,18.0,1.0
437,t1_data_12.csv,19.0,1.0
438,t1_data_12.csv,20.0,1.0
439,t1_data_12.csv,21.0,1.0
440,t1_data_12.csv,22.0,1.0
441,t1_data_12.csv,23.0,1.0
442,t1_data_12.csv,24.0,1.0
443,t1_data_12.csv,25.0,1.0
444,t1_data_12.csv,26.0,1.0
445,t1_data_12.csv,27.0,1.0
446,t1_data_12.csv,28.0,1.0
447,t1_data_12.csv,29.0,1.0
448,t1_data_12.csv,30.0,1.0
449,t1_data_12.csv,31.0,1.0
450,t1_data_12.csv,32.0,1.0
451,t1_data_12.csv,33.0,1.0
452,t1_data_12.csv,34.0,1.0
453,t1_data_12.csv,35.0,1.0
454,t1_data_12.csv,36.0,1.0
455,t1_data_12.csv,37.0,1.0
456,t1_data_12.csv,38.0,1.0
457,t1_data_13.csv,1.0,1.0
458,t1_data_13.csv,2.0,1.0
459,t1_data_13.csv,3.0,1.0
460,t1_data_13.csv,4.0,1.0
461,t1_data_13.csv,5.0,1.0
462,t1_data_13.csv,6.0,1.0
463,t1_data_13.csv,7.0,1.0
464,t1_data_13.csv,8.0,1.0
465,t1_data_13.csv,9.0,1.0
466,t1_data_13.csv,10.0,1.0
467,t1_data_13.csv,11.0,1.0
468,t1_data_13.csv,12.0,1.0
469,t1_data_13.csv,13.0,1.0
470,t1_data_13.csv,14.0,1.0
471,t1_data_13.csv,15.0,1.0
472,t1_data_13.csv,16.0,1.0
473,t1_data_13.csv,17.0,1.0
474,t1_data_13.csv,18.0,1.0
475,t1_data_13.csv,19.0,1.0
476,t1_data_13.csv,20.0,1.0
477,t1_data_13.csv,21.0,1.0
478,t1_data_13.csv,22.0,1.0
479,t1_data_13.csv,23.0,1.0
480,t1_data_13.csv,24.0,1.0
481,t1_data_13.csv,25.0,1.0
482,t1_data_13.csv,26.0,1.0
483,t1_data_13.csv,27.0,1.0
484,t1_data_13.csv,28.0,1.0
485,t1_data_13.csv,29.0,1.0
486,t1_data_13.csv,30.0,1.0
487,t1_data_13.csv,31.0,1.0
488,t1_data_13.csv,32.0,1.0
489,t1_data_13.csv,33.0,1.0
490,t1_data_13.csv,34.0,1.0
491,t1_data_13.csv,35.0,1.0
492,t1_data_13.csv,36.0,1.0
493,t1_data_13.csv,37.0,1.0
494,t1_data_13.csv,38.0,1.0
495,t1_data_14.csv,1.0,1.0
496,t1_data_14.csv,2.0,1.0
497,t1_data_14.csv,3.0,1.0
498,t1_data_14.csv,4.0,1.0
499,t1_data_14.csv,5.0,1.0
500,t1_data_14.csv,6.0,1.0
501,t1_data_14.csv,7.0,1.0
502,t1_data_14.csv,8.0,1.0
503,t1_data_14.csv,9.0,1.0
504,t1_data_14.csv,10.0,1.0
505,t1_data_14.csv,11.0,1.0
506,t1_data_14.csv,12.0,1.0
507,t1_data_14.csv,13.0,1.0
508,t1_data_14.csv,14.0,1.0
509,t1_data_14.csv,15.0,1.0
510,t1_data_14.csv,16.0,1.0
511,t1_data_14.csv,17.0,1.0
512,t1_data_14.csv,18.0,1.0
513,t1_data_14.csv,19.0,1.0
514,t1_data_14.csv,20.0,1.0
515,t1_data_14.csv,21.0,1.0
516,t1_data_14.csv,22.0,1.0
517,t1_data_14.csv,23.0,1.0
518,t1_data_14.csv,24.0,1.0
519,t1_data_14.csv,25.0,1.0
520,t1_data_14.csv,26.0,1.0
521,t1_data_14.csv,27.0,1.0
522,t1_data_14.csv,28.0,1.0
523,t1_data_14.csv,29.0,1.0
524,t1_data_14.csv,30.0,1.0
525,t1_data_14.csv,31.0,1.0
526,t1_data_14.csv,32.0,1.0
527,t1_data_14.csv,33.0,1.0
528,t1_data_14.csv,34.0,1.0
529,t1_data_14.csv,35.0,1.0
530,t1_data_14.csv,36.0,1.0
531,t1_data_14.csv,37.0,1.0
532,t1_data_14.csv,38.0,1.0
533,t1_data_15.csv,1.0,1.0
534,t1_data_15.csv,2.0,1.0
535,t1_data_15.csv,3.0,1.0
536,t1_data_15.csv,4.0,1.0
537,t1_data_15.csv,5.0,1.0
538,t1_data_15.csv,6.0,1.0
539,t1_data_15.csv,7.0,1.0
540,t1_data_15.csv,8.0,1.0
541,t1_data_15.csv,9.0,1.0
542,t1_data_15.csv,10.0,1.0
543,t1_data_15.csv,11.0,1.0
544,t1_data_15.csv,12.0,1.0
545,t1_data_15.csv,13.0,1.0
546,t1_data_15.csv,14.0,1.0
547,t1_data_15.csv,15.0,1.0
548,t1_data_15.csv,16.0,1.0
549,t1_data_15.csv,17.0,1.0
550,t1_data_15.csv,18.0,1.0
551,t1_data_15.csv,19.0,1.0
552,t1_data_15.csv,20.0,1.0
553,t1_data_15.csv,21.0,1.0
554,t1_data_15.csv,22.0,1.0
555,t1_data_15.csv,23.0,1.0
556,t1_data_15.csv,24.0,1.0
557,t1_data_15.csv,25.0,1.0
558,t1_data_15.csv,26.0,1.0
559,t1_data_15.csv,27.0,1.0
560,t1_data_15.csv,28.0,1.0
561,t1_data_15.csv,29.0,1.0
562,t1_data_15.csv,30.0,1.0
563,t1_data_15.csv,31.0,1.0
564,t1_data_15.csv,32.0,1.0
565,t1_data_15.csv,33.0,1.0
566,t1_data_15.csv,34.0,1.0
567,t1_data_15.csv,35.0,1.0
568,t1_data_15.csv,36.0,1.0
569,t1_data_15.csv,37.0,1.0
570,t1_data_15.csv,38.0,1.0
571,t1_data_16.csv,1.0,1.0
572,t1_data_16.csv,2.0,1.0
573,t1_data_16.csv,3.0,1.0
574,t1_data_16.csv,4.0,1.0
575,t1_data_16.csv,5.0,1.0
576,t1_data_16.csv,6.0,1.0
577,t1_data_16.csv,7.0,1.0
578,t1_data_16.csv,8.0,1.0
579,t1_data_16.csv,9.0,1.0
580,t1_data_16.csv,10.0,1.0
581,t1_data_16.csv,11.0,1.0
582,t1_data_16.csv,12.0,1.0
583,t1_data_16.csv,13.0,1.0
584,t1_data_16.csv,14.0,1.0
585,t1_data_16.csv,15.0,1.0
586,t1_data_16.csv,16.0,1.0
587,t1_data_16.csv,17.0,1.0
588,t1_data_16.csv,18.0,1.0
589,t1_data_16.csv,19.0,1.0
590,t1_data_16.csv,20.0,1.0
591,t1_data_16.csv,21.0,1.0
592,t1_data_16.csv,22.0,1.0
593,t1_data_16.csv,23.0,1.0
594,t1_data_16.csv,24.0,1.0
595,t1_data_16.csv,25.0,1.0
596,t1_data_16.csv,26.0,1.0
597,t1_data_16.csv,27.0,1.0
598,t1_data_16.csv,28.0,1.0
599,t1_data_16.csv,29.0,1.0
600,t1_data_16.csv,30.0,1.0
601,t1_data_16.csv,31.0,1.0
602,t1_data_16.csv,32.0,1.0
603,t1_data_16.csv,33.0,1.0
604,t1_data_16.csv,34.0,1.0
605,t1_data_16.csv,35.0,1.0
606,t1_data_16.csv,36.0,1.0
607,t1_data_16.csv,37.0,1.0
608,t1_data_16.csv,38.0,1.0
609,t1_data_17.csv,1.0,1.0
610,t1_data_17.csv,2.0,1.0
611,t1_data_17.csv,3.0,1.0
612,t1_data_17.csv,4.0,1.0
613,t1_data_17.csv,5.0,1.0
614,t1_data_17.csv,6.0,1.0
615,t1_data_17.csv,7.0,1.0
616,t1_data_17.csv,8.0,1.0
617,t1_data_17.csv,9.0,1.0
618,t1_data_17.csv,10.0,1.0
619,t1_data_17.csv,11.0,1.0
620,t1_data_17.csv,12.0,1.0
621,t1_data_17.csv,13.0,1.0
622,t1_data_17.csv,14.0,1.0
623,t1_data_17.csv,15.0,1.0
624,t1_data_17.csv,16.0,1.0
625,t1_data_17.csv,17.0,1.0
626,t1_data_17.csv,18.0,1.0
627,t1_data_17.csv,19.0,1.0
628,t1_data_17.csv,20.0,1.0
629,t1_data_17.csv,21.0,1.0
630,t1_data_17.csv,22.0,1.0
631,t1_data_17.csv,23.0,1.0
632,t1_data_17.csv,24.0,1.0
633,t1_data_17.csv,25.0,1.0
634,t1_data_17.csv,26.0,1.0
635,t1_data_17.csv,27.0,1.0
636,t1_data_17.csv,28.0,1.0
637,t1_data_17.csv,29.0,1.0
638,t1_data_17.csv,30.0,1.0
639,t1_data_17.csv,31.0,1.0
640,t1_data_17.csv,32.0,1.0
641,t1_data_17.csv,33.0,1.0
642,t1_data_17.csv,34.0,1.0
643,t1_data_17.csv,35.0,1.0
644,t1_data_17.csv,36.0,1.0
645,t1_data_17.csv,37.0,1.0
646,t1_data_17.csv,38.0,1.0
647,t1_data_18.csv,1.0,1.0
648,t1_data_18.csv,2.0,1.0
649,t1_data_18.csv,3.0,1.0
650,t1_data_18.csv,4.0,1.0
651,t1_data_18.csv,5.0,1.0
652,t1_data_18.csv,6.0,1.0
653,t1_data_18.csv,7.0,1.0
654,t1_data_18.csv,8.0,1.0
655,t1_data_18.csv,9.0,1.0
656,t1_data_18.csv,10.0,1.0
657,t1_data_18.csv,11.0,1.0
658,t1_data_18.csv,12.0,1.0
659,t1_data_18.csv,13.0,1.0
660,t1_data_18.csv,14.0,1.0
661,t1_data_18.csv,15.0,1.0
662,t1_data_18.csv,16.0,1.0
663,t1_data_18.csv,17.0,1.0
664,t1_data_18.csv,18.0,1.0
665,t1_data_18.csv,19.0,1.0
666,t1_data_18.csv,20.0,1.0
667,t1_data_18.csv,21.0,1.0
668,t1_data_18.csv,22.0,1.0
669,t1_data_18.csv,23.0,1.0
670,t1_data_18.csv,24.0,1.0
671,t1_data_18.csv,25.0,1.0
672,t1_data_18.csv,26.0,1.0
673,t1_data_18.csv,27.0,1.0
674,t1_data_18.csv,28.0,1.0
675,t1_data_18.csv,29.0,1.0
676,t1_data_18.csv,30.0,1.0
677,t1_data_18.csv,31.0,1.0
678,t1_data_18.csv,32.0,1.0
679,t1_data_18.csv,33.0,1.0
680,t1_data_18.csv,34.0,1.0
681,t1_data_18.csv,35.0,1.0
682,t1_data_18.csv,36.0,1.0
683,t1_data_18.csv,37.0,1.0
684,t1_data_18.csv,38.0,1.0
685,t1_data_19.csv,1.0,1.0
686,t1_data_19.csv,2.0,1.0
687,t1_data_19.csv,3.0,1.0
688,t1_data_19.csv,4.0,1.0
689,t1_data_19.csv,5.0,1.0
690,t1_data_19.csv,6.0,1.0
691,t1_data_19.csv,7.0,1.0
692,t1_data_19.csv,8.0,1.0
693,t1_data_19.csv,9.0,1.0
694,t1_data_19.csv,10.0,1.0
695,t1_data_19.csv,11.0,1.0
696,t1_data_19.csv,12.0,1.0
697,t1_data_19.csv,13.0,1.0
698,t1_data_19.csv,14.0,1.0
